2020-04-12 10:07:40,519 [AUDIT] Token created by 'anonymous': tokenId='45509e2d-d623-4b2a-b268-317738e9bef8', issuer='jfrou@01e5pxqrpt9mar5tnv5nk3fzca', subject='jfrou@01e5pxqrpt9mar5tnv5nk3fzca', expiry=none, refreshable=false
2020-04-12 10:37:51,986 [AUDIT] Token created by 'jffe@000': tokenId='f21e76d6-0261-4349-97f1-02cdfd0bfe39', issuer='jffe@000', subject='jffe@000', expiry=1586688471981, refreshable=false
2020-04-12 10:37:51,988 [AUDIT] Token created by 'jffe@000': tokenId='67f2204f-fbc9-42b6-9941-1fbf880bc5c8', issuer='jffe@000', subject='jffe@000', expiry=1586688471985, refreshable=false
2020-04-12 10:37:51,989 [AUDIT] Token created by 'jffe@000': tokenId='86755e3e-fdab-47ae-a9c7-be1fb94a1540', issuer='jffe@000', subject='jffe@000', expiry=1586688471985, refreshable=false
2020-04-12 10:37:51,990 [AUDIT] Token created by 'jffe@000': tokenId='7c6c4c28-1c6c-43d6-ac97-2a36740bfae6', issuer='jffe@000', subject='jffe@000', expiry=1586688471984, refreshable=false
2020-04-12 10:43:34,004 [AUDIT] Token created by 'jffe@000': tokenId='eaaec653-de73-456a-86e4-32352dbda053', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1586688814003, refreshable=false
2020-04-12 10:47:51,989 [AUDIT] Token created by 'jffe@000': tokenId='54b83319-d8e7-4622-94ab-bdcc312ee5bb', issuer='jffe@000', subject='jffe@000', expiry=1586689071987, refreshable=false
2020-04-12 10:47:51,990 [AUDIT] Token created by 'jffe@000': tokenId='3f65dd5b-622a-4447-aa68-3173f42b9bba', issuer='jffe@000', subject='jffe@000', expiry=1586689071987, refreshable=false
2020-04-12 10:47:51,990 [AUDIT] Token created by 'jffe@000': tokenId='5c5bf9b2-7560-4669-a7dc-abd0c6bdac7d', issuer='jffe@000', subject='jffe@000', expiry=1586689071987, refreshable=false
2020-04-12 10:47:51,990 [AUDIT] Token created by 'jffe@000': tokenId='a73ed72d-18ec-44c7-b985-e180962096f2', issuer='jffe@000', subject='jffe@000', expiry=1586689071987, refreshable=false
2020-04-12 10:57:52,023 [AUDIT] Token created by 'jffe@000': tokenId='22cb9dcd-77aa-4f7a-9564-5cb2e45435b5', issuer='jffe@000', subject='jffe@000', expiry=1586689672019, refreshable=false
2020-04-12 10:57:52,024 [AUDIT] Token created by 'jffe@000': tokenId='97c89793-e9fe-4315-965e-72829294e3c2', issuer='jffe@000', subject='jffe@000', expiry=1586689672020, refreshable=false
2020-04-12 10:57:52,024 [AUDIT] Token created by 'jffe@000': tokenId='18a4e8c3-8718-4a58-839c-59316307fe1e', issuer='jffe@000', subject='jffe@000', expiry=1586689672020, refreshable=false
2020-04-12 10:57:52,024 [AUDIT] Token created by 'jffe@000': tokenId='8b0e3b1c-77b9-42e6-91af-2188a40e5e23', issuer='jffe@000', subject='jffe@000', expiry=1586689672020, refreshable=false
2020-04-12 11:07:52,033 [AUDIT] Token created by 'jffe@000': tokenId='623bb4b5-acb6-4918-9540-5db231bbd40b', issuer='jffe@000', subject='jffe@000', expiry=1586690272030, refreshable=false
2020-04-12 11:07:52,037 [AUDIT] Token created by 'jffe@000': tokenId='6c1dea06-aa19-43a3-bfe3-fdb2ac4930cd', issuer='jffe@000', subject='jffe@000', expiry=1586690272030, refreshable=false
2020-04-12 11:07:52,037 [AUDIT] Token created by 'jffe@000': tokenId='089f6560-b3fe-46c5-9033-1ea3177fbb54', issuer='jffe@000', subject='jffe@000', expiry=1586690272030, refreshable=false
2020-04-12 11:07:52,037 [AUDIT] Token created by 'jffe@000': tokenId='6399c554-d44c-4a41-a276-94e7e68ea818', issuer='jffe@000', subject='jffe@000', expiry=1586690272030, refreshable=false
2020-04-12 11:18:02,860 [AUDIT] Token created by 'anonymous': tokenId='150e1241-870a-4464-ad35-07e144110d31', issuer='jfrou@01e5pxqrpt9mar5tnv5nk3fzca', subject='jfrou@01e5pxqrpt9mar5tnv5nk3fzca', expiry=none, refreshable=false
2020-04-12 11:18:02,900 [AUDIT] Token revoked by 'anonymous': tokenId='45509e2d-d623-4b2a-b268-317738e9bef8', issuer='jfrou@01e5pxqrpt9mar5tnv5nk3fzca', subject='jfrou@01e5pxqrpt9mar5tnv5nk3fzca', expiry=none, refreshable=false
2020-04-12 11:18:03,183 [AUDIT] Token created by 'anonymous': tokenId='0cf45969-7469-44a6-9e39-7ac1309688e7', issuer='jfrt@01e5pxqvzkwc0t130mk2bw0mxb', subject='jfrt@01e5pxqvzkwc0t130mk2bw0mxb', expiry=none, refreshable=false
2020-04-12 11:18:03,189 [AUDIT] Token revoked by 'anonymous': tokenId='39d60141-0800-4261-9b53-c80c0cd86a44', issuer='jfrt@01e5pxqvzkwc0t130mk2bw0mxb', subject='jfrt@01e5pxqvzkwc0t130mk2bw0mxb', expiry=none, refreshable=false
2020-04-12 11:18:03,701 [AUDIT] Token created by 'anonymous': tokenId='40d66d74-b82e-4884-92d0-98525dc26536', issuer='jfmd@01e5pxqs4fax7jpfw7tj2rgydt', subject='jfmd@01e5pxqs4fax7jpfw7tj2rgydt', expiry=none, refreshable=false
2020-04-12 11:18:03,706 [AUDIT] Token revoked by 'anonymous': tokenId='b2f8bac3-04c0-4aee-bca4-81aa8e0bd03e', issuer='jfmd@01e5pxqs4fax7jpfw7tj2rgydt', subject='jfmd@01e5pxqs4fax7jpfw7tj2rgydt', expiry=none, refreshable=false
